timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14 00:00:00,-1.8,99,-1.9,-4.6,0.0
2024-12-14 01:00:00,-1.1,92,-2.2,-4.2,0.0
2024-12-14 02:00:00,-0.8,91,-2.1,-3.5,0.0
2024-12-14 03:00:00,-0.8,91,-2.1,-3.4,0.0
2024-12-14 04:00:00,-0.9,93,-1.9,-3.8,0.0
2024-12-14 05:00:00,-0.8,93,-1.8,-3.4,0.0
2024-12-14 06:00:00,-0.5,95,-1.2,-3.1,0.0
2024-12-14 07:00:00,-0.5,95,-1.2,-3.4,0.1
2024-12-14 08:00:00,-0.2,92,-1.3,-2.8,0.0
2024-12-14 09:00:00,0.8,90,-0.7,-2.1,0.0
2024-12-14 10:00:00,1.3,90,-0.2,-1.1,0.0
2024-12-14 11:00:00,1.8,89,0.2,-0.6,0.0
2024-12-14 12:00:00,2.0,88,0.2,-0.6,0.0
2024-12-14 13:00:00,2.4,86,0.3,-0.0,0.0
2024-12-14 14:00:00,2.1,87,0.2,-0.4,0.0
2024-12-14 15:00:00,1.7,90,0.2,-0.6,0.0
2024-12-14 16:00:00,1.0,92,-0.1,-1.5,0.0
2024-12-14 17:00:00,0.4,95,-0.3,-2.3,0.0
2024-12-14 18:00:00,0.8,91,-0.5,-1.8,0.0
2024-12-14 19:00:00,1.1,90,-0.4,-1.5,0.0
2024-12-14 20:00:00,1.1,88,-0.7,-1.3,0.0
2024-12-14 21:00:00,1.3,84,-1.1,-1.1,0.0
2024-12-14 22:00:00,2.6,75,-1.4,-0.2,0.0
2024-12-14 23:00:00,3.2,70,-1.8,0.4,0.0
2024-12-15 00:00:00,3.7,75,-0.3,0.3,0.0
2024-12-15 01:00:00,4.5,69,-0.7,0.6,0.0
2024-12-15 02:00:00,4.1,70,-0.9,0.4,0.0
2024-12-15 03:00:00,3.9,68,-1.4,0.0,0.0
2024-12-15 04:00:00,4.0,69,-1.2,0.3,0.0
2024-12-15 05:00:00,3.1,73,-1.2,-0.2,0.0
2024-12-15 06:00:00,2.2,76,-1.6,-0.6,0.0
2024-12-15 07:00:00,1.8,82,-0.9,-1.2,0.0
2024-12-15 08:00:00,2.8,80,-0.3,-0.1,0.0
2024-12-15 09:00:00,4.2,77,0.5,1.6,0.0
2024-12-15 10:00:00,7.1,63,0.5,4.3,0.0
2024-12-15 11:00:00,8.1,56,-0.2,4.5,0.0
2024-12-15 12:00:00,8.2,58,0.4,5.4,0.0
2024-12-15 13:00:00,5.9,71,1.1,3.4,0.0
2024-12-15 14:00:00,5.9,73,1.5,3.8,0.0
2024-12-15 15:00:00,4.6,75,0.5,2.1,0.0
2024-12-15 16:00:00,2.8,72,-1.7,-0.4,0.0
2024-12-15 17:00:00,2.6,75,-1.4,-0.6,0.0
2024-12-15 18:00:00,2.4,72,-2.1,-0.8,0.0
2024-12-15 19:00:00,2.3,71,-2.4,-1.0,0.0
2024-12-15 20:00:00,2.4,68,-2.9,-1.0,0.0
2024-12-15 21:00:00,2.8,65,-3.2,-0.5,0.0
2024-12-15 22:00:00,3.5,60,-3.6,-0.0,0.0
2024-12-15 23:00:00,4.6,56,-3.4,1.1,0.0
2024-12-16 00:00:00,7.0,46,-3.8,2.9,0.0
2024-12-16 01:00:00,7.1,47,-3.5,2.9,0.0
2024-12-16 02:00:00,7.2,46,-3.6,2.6,0.0
2024-12-16 03:00:00,7.6,48,-2.7,3.1,0.0
2024-12-16 04:00:00,7.3,53,-1.6,3.4,0.0
2024-12-16 05:00:00,7.4,53,-1.5,3.1,0.0
2024-12-16 06:00:00,8.3,52,-1.0,4.2,0.0
2024-12-16 07:00:00,8.7,51,-0.9,4.1,0.0
2024-12-16 08:00:00,9.9,49,-0.3,5.3,0.0
2024-12-16 09:00:00,11.5,45,-0.1,6.7,0.0
2024-12-16 10:00:00,12.5,45,0.9,7.5,0.0
2024-12-16 11:00:00,13.3,47,2.2,9.9,0.0
2024-12-16 12:00:00,13.7,50,3.5,11.1,0.0
2024-12-16 13:00:00,14.2,54,5.0,12.7,0.0
2024-12-16 14:00:00,11.3,75,7.0,10.4,0.0
2024-12-16 15:00:00,10.0,69,4.5,8.3,0.0
2024-12-16 16:00:00,9.5,64,3.0,7.5,0.0
2024-12-16 17:00:00,9.1,64,2.7,6.6,0.0
2024-12-16 18:00:00,9.2,62,2.3,6.7,0.0
2024-12-16 19:00:00,9.2,61,2.0,6.7,0.0
2024-12-16 20:00:00,8.1,65,1.9,5.8,0.0
2024-12-16 21:00:00,7.1,70,2.0,4.8,0.0
2024-12-16 22:00:00,6.3,72,1.6,4.1,0.0
2024-12-16 23:00:00,5.1,77,1.4,2.9,0.0
2024-12-17 00:00:00,10.7,55,2.0,7.7,0.0
2024-12-17 01:00:00,10.1,57,1.9,7.5,0.0
2024-12-17 02:00:00,10.2,54,1.3,7.7,0.0
2024-12-17 03:00:00,9.1,54,0.3,6.8,0.0
2024-12-17 04:00:00,7.8,58,0.1,5.5,0.0
2024-12-17 05:00:00,7.7,55,-0.8,5.0,0.0
2024-12-17 06:00:00,7.1,57,-0.9,4.4,0.0
2024-12-17 07:00:00,7.2,58,-0.5,4.5,0.0
2024-12-17 08:00:00,8.3,61,1.2,6.0,0.0
2024-12-17 09:00:00,8.8,65,2.6,6.5,0.0
2024-12-17 10:00:00,9.3,67,3.5,7.7,0.0
2024-12-17 11:00:00,9.8,61,2.6,7.6,0.0
2024-12-17 12:00:00,9.7,67,3.8,7.8,0.0
2024-12-17 13:00:00,9.6,66,3.6,7.7,0.0
2024-12-17 14:00:00,8.3,77,4.5,6.5,0.0
2024-12-17 15:00:00,6.4,86,4.3,4.8,0.0
2024-12-17 16:00:00,4.8,92,3.6,3.0,0.0
2024-12-17 17:00:00,4.3,92,3.1,2.4,0.0
2024-12-17 18:00:00,3.9,93,2.9,2.0,0.0
2024-12-17 19:00:00,3.3,95,2.6,1.5,0.0
2024-12-17 20:00:00,3.2,94,2.3,0.9,0.0
2024-12-17 21:00:00,4.2,85,1.9,2.2,0.0
2024-12-17 22:00:00,2.7,93,1.7,0.5,0.0
2024-12-17 23:00:00,1.2,100,1.2,-0.8,0.0
